Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-01-09,2009-01-09,2009-01-09,ARV,Adult,SCMS from RDC,Generic,Tablet,30,1444,15884.0,11.0,0.37,No,31.13,7321.04,822.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-02-18,2009-02-18,2009-02-18,ARV,Adult,SCMS from RDC,Generic,Tablet,60,8258,58796.96,7.12,0.12,Yes,115.24,29336.46,5147.0
Others,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-04,2009-03-04,2009-03-04,ARV,Adult,SCMS from RDC,Generic,Tablet,60,27588,325538.4,11.8,0.2,Yes,638.06,14538.36,3146.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,,,2009-03-19,2009-03-19,2009-03-19,ARV,Adult,SCMS from RDC,Generic,Tablet,60,11608,82648.96,7.12,0.12,Yes,161.99,11492.86,1871.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-24,2009-03-24,2009-03-24,ARV,Adult,SCMS from RDC,Others,Tablet,30,143,3753.75,26.25,0.88,Yes,7.36,6443.61,14.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-24,2009-03-24,2009-03-24,ARV,Adult,SCMS from RDC,Others,Tablet,30,326,8557.5,26.25,0.88,Yes,16.77,6443.61,35.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-03-24,2009-03-24,2009-03-24,ARV,Adult,SCMS from RDC,Others,Tablet,30,873,22916.25,26.25,0.88,Yes,44.92,6443.61,76.0
Others,PMO - US,From RDC,N/A - From RDC,Truck,,,2008-10-28,2008-10-28,2008-10-28,ARV,Adult,SCMS from RDC,Generic,Tablet,60,288,921.6,3.2,0.05,Yes,1.81,896.26,28.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-01-19,2009-01-19,2009-01-19,ARV,Adult,SCMS from RDC,Others,Tablet,30,32696,858270.0,26.25,0.88,Yes,1682.21,7363.73,2873.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,,,2008-11-14,2008-11-14,2008-11-14,ARV,Adult,SCMS from RDC,Generic,Tablet,60,27080,194976.0,7.2,0.12,No,311.96,3874.22,3427.0
